refArea,PercentageofEducationlevelofresidents-illeterate,PercentageofSchooldropout,Observation URI,references,PercentageofEducationlevelofresidents-university,publisher,PercentageofEducationlevelofresidents-secondary,PercentageofEducationlevelofresidents-intermediate,PercentageofEducationlevelofresidents-vocational,PercentageofEducationlevelofresidents-elementary,PercentageofEducationlevelofresidents-highereducation,Town,dataset
http://dbpedia.org/resource/Keserwan_District,NaN,NaN,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aachqout,https://impact.cib.gov.lb/home#open_data_section,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,Aachqout,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Marjeyoun_District,3e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aadaysseh+Marjaayoun,https://impact.cib.gov.lb/home#open_data_section,1.6e+01,Impact Open Data,2e+01,2.2e+01,1.8e+01,1.6e+01,5e+00,Aadaysseh Marjaayoun,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
https://dbpedia.org/page/Nabatieh_Governorate,NaN,NaN,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aadchit+Ech-Chqif,https://impact.cib.gov.lb/home#open_data_section,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,Aadchit Ech-Chqif,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Marjeyoun_District,1e+01,5e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aadchit+El-Qoussair,https://impact.cib.gov.lb/home#open_data_section,1.5e+01,Impact Open Data,1.4e+01,1.5e+01,1e+01,3.5e+01,1e+00,Aadchit El-Qoussair,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Sidon_District,NaN,NaN,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aadloun,https://impact.cib.gov.lb/home#open_data_section,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,Aadloun,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Sidon_District,2e+00,1e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aadoussiyeh,https://impact.cib.gov.lb/home#open_data_section,1.4e+01,Impact Open Data,2e+01,4e+01,3e+00,2e+01,1e+00,Aadoussiyeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
https://dbpedia.org/page/North_Governorate,0e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aafsdiq,https://impact.cib.gov.lb/home#open_data_section,2e+01,Impact Open Data,2e+01,4e+01,1e+01,0e+00,1e+01,Aafsdiq,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Aley_District,0e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Aanoub,https://impact.cib.gov.lb/home#open_data_section,1.2e+01,Impact Open Data,1e+01,1e+01,5e+00,6e+01,3e+00,Aain Aanoub,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
https://dbpedia.org/page/Beqaa_Governorate,5e+00,1e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Aarab+Rachaya,https://impact.cib.gov.lb/home#open_data_section,1e+01,Impact Open Data,2e+01,3e+01,1e+01,2e+01,5e+00,Aain Aarab Rachaya,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
https://dbpedia.org/page/Beqaa_Governorate,5e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Aata,https://impact.cib.gov.lb/home#open_data_section,3e+00,Impact Open Data,1e+01,2e+01,1e+01,5e+01,2e+00,Aain Aata,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Aley_District,NaN,NaN,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Dara,https://impact.cib.gov.lb/home#open_data_section,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,Aain Dara,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Aley_District,1e+01,5e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Drafil,https://impact.cib.gov.lb/home#open_data_section,1e+01,Impact Open Data,2e+01,2.5e+01,1e+01,2e+01,5e+00,Aain Drafil,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Sidon_District,1e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Ed-Delb,https://impact.cib.gov.lb/home#open_data_section,1.6e+01,Impact Open Data,3.5e+01,3e+01,1e+01,5e+00,3e+00,Aain Ed-Delb,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Byblos_District,2e+01,5e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Ed-Delbe,https://impact.cib.gov.lb/home#open_data_section,2e+01,Impact Open Data,1e+01,1e+01,2e+01,2e+01,0e+00,Aain Ed-Delbe,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Aley_District,0e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Ej-Jdideh+Aaley,https://impact.cib.gov.lb/home#open_data_section,3.5e+01,Impact Open Data,3.5e+01,1e+01,1e+01,5e+00,5e+00,Aain Ej-Jdideh Aaley,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Aley_District,0e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+El+Saydeh,https://impact.cib.gov.lb/home#open_data_section,2e+01,Impact Open Data,2e+00,5e+00,1e+01,5.3e+01,1e+01,Aain El Saydeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Byblos_District,5e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+El-Ghouaybeh,https://impact.cib.gov.lb/home#open_data_section,3e+01,Impact Open Data,2e+01,1.5e+01,1e+01,1e+01,1e+01,Aain El-Ghouaybeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Matn_District,2e+00,NaN,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+El-Kharroubeh,https://impact.cib.gov.lb/home#open_data_section,1.5e+01,Impact Open Data,3e+01,NaN,5e+00,NaN,NaN,Aain El-Kharroubeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Matn_District,0e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+El-Qabu,https://impact.cib.gov.lb/home#open_data_section,2.5e+01,Impact Open Data,2e+01,2e+01,1e+01,1e+01,1.5e+01,Aain El-Qabu,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Keserwan_District,NaN,NaN,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Er-Rihane,https://impact.cib.gov.lb/home#open_data_section,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,Aain Er-Rihane,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Aley_District,NaN,NaN,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Er-Roummaneh+Aaley,https://impact.cib.gov.lb/home#open_data_section,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,Aain Er-Roummaneh Aaley,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Matn_District,3e+00,1e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Es-Sindiane,https://impact.cib.gov.lb/home#open_data_section,3.5e+01,Impact Open Data,3e+01,1.5e+01,2e+00,1e+01,5e+00,Aain Es-Sindiane,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Matn_District,0e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Et-Teffaha,https://impact.cib.gov.lb/home#open_data_section,3e+01,Impact Open Data,3e+01,1e+01,5e+00,2e+01,5e+00,Aain Et-Teffaha,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/MiniyehâDanniyeh_District,5e+00,5e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Et-Tineh-Miniyeh,https://impact.cib.gov.lb/home#open_data_section,3e+01,Impact Open Data,2e+01,1.8e+01,2e+01,5e+00,2e+00,Aain Et-Tineh-Miniyeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
https://dbpedia.org/page/Akkar_Governorate,2e+01,2e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Ez-Zeit,https://impact.cib.gov.lb/home#open_data_section,1.5e+01,Impact Open Data,1.5e+01,1.5e+01,1.5e+01,1.5e+01,5e+00,Aain Ez-Zeit,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Matn_District,0e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Ez-Zeitouneh,https://impact.cib.gov.lb/home#open_data_section,3.5e+01,Impact Open Data,1e+01,2e+01,1e+01,1e+01,1.5e+01,Aain Ez-Zeitouneh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Aley_District,NaN,NaN,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Fraidis,https://impact.cib.gov.lb/home#open_data_section,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,Aain Fraidis,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
https://dbpedia.org/page/Beqaa_Governorate,3e+00,2e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Harsha,https://impact.cib.gov.lb/home#open_data_section,2e+01,Impact Open Data,3e+01,3e+01,2e+00,1e+01,5e+00,Aain Harsha,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Bint_Jbeil_District,2e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Ibl,https://impact.cib.gov.lb/home#open_data_section,2e+01,Impact Open Data,2e+01,2e+01,1.5e+01,1.3e+01,1e+01,Aain Ibl,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Hasbaya_District,2e+01,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Jarfa,https://impact.cib.gov.lb/home#open_data_section,8e+00,Impact Open Data,1e+01,1.5e+01,2.5e+01,2e+01,2e+00,Aain Jarfa,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Byblos_District,1e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Jrain,https://impact.cib.gov.lb/home#open_data_section,2.2e+01,Impact Open Data,2e+01,4e+01,1e+01,3e+00,4e+00,Aain Jrain,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Byblos_District,0e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Kfaa,https://impact.cib.gov.lb/home#open_data_section,2e+01,Impact Open Data,2e+01,2e+01,1e+01,1e+01,2e+01,Aain Kfaa,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/ZahlÃ©_District,1.5e+01,1e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Kfar+Zabad,https://impact.cib.gov.lb/home#open_data_section,1e+01,Impact Open Data,2e+01,2e+01,1e+01,2e+01,5e+00,Aain Kfar Zabad,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Aley_District,0e+00,2e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Ksour,https://impact.cib.gov.lb/home#open_data_section,3e+01,Impact Open Data,2e+01,1e+01,5e+00,3e+01,5e+00,Aain Ksour,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Baabda_District,1e+01,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Mouaffaq,https://impact.cib.gov.lb/home#open_data_section,1e+01,Impact Open Data,2e+01,2.5e+01,1e+01,1.5e+01,1e+01,Aain Mouaffaq,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
https://dbpedia.org/page/Mount_Lebanon_Governorate,8e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Ouzain,https://impact.cib.gov.lb/home#open_data_section,2e+01,Impact Open Data,2e+01,2e+01,1e+01,2e+01,2e+00,Aain Ouzain,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
https://dbpedia.org/page/Nabatieh_Governorate,NaN,NaN,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Qana,https://impact.cib.gov.lb/home#open_data_section,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,Aain Qana,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
https://dbpedia.org/page/Mount_Lebanon_Governorate,5e+00,1e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Qania,https://impact.cib.gov.lb/home#open_data_section,6e+01,Impact Open Data,4e+01,3e+01,2e+01,3e+01,1e+01,Aain Qania,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Hasbaya_District,2e+00,2e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Qinia,https://impact.cib.gov.lb/home#open_data_section,2e+00,Impact Open Data,1.5e+01,2e+01,1e+01,5e+01,1e+00,Aain Qinia,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Matn_District,NaN,NaN,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Saadeh,https://impact.cib.gov.lb/home#open_data_section,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,Aain Saadeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
https://dbpedia.org/page/Akkar_Governorate,1e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Tinta,https://impact.cib.gov.lb/home#open_data_section,1.5e+01,Impact Open Data,5e+01,3e+01,1e+00,2e+00,1e+00,Aain Tinta,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Aley_District,3e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Traz,https://impact.cib.gov.lb/home#open_data_section,2e+01,Impact Open Data,3e+01,2.5e+01,1e+01,1e+01,2e+00,Aain Traz,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
https://dbpedia.org/page/Akkar_Governorate,5e+00,1e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Yaaqoub,https://impact.cib.gov.lb/home#open_data_section,2e+01,Impact Open Data,2e+01,1.5e+01,2e+01,1.5e+01,5e+00,Aain Yaaqoub,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Western_Beqaa_District,0e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Zebdeh,https://impact.cib.gov.lb/home#open_data_section,2.7e+01,Impact Open Data,2e+01,2.2e+01,9e+00,2e+01,2e+00,Aain Zebdeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
https://dbpedia.org/page/Mount_Lebanon_Governorate,1e+01,1.5e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Zhalta,https://impact.cib.gov.lb/home#open_data_section,2e+01,Impact Open Data,1.5e+01,1.5e+01,2e+01,1e+01,1e+01,Aain Zhalta,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Byblos_District,5e+00,1e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+challal,https://impact.cib.gov.lb/home#open_data_section,1e+01,Impact Open Data,1e+01,5e+01,1e+01,1e+01,5e+00,Aain challal,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
https://dbpedia.org/page/Mount_Lebanon_Governorate,NaN,NaN,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aainbal,https://impact.cib.gov.lb/home#open_data_section,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,Aainbal,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Bint_Jbeil_District,1e+00,2e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aaita+Ej-Jabal,https://impact.cib.gov.lb/home#open_data_section,1.5e+01,Impact Open Data,3e+01,2e+01,2e+01,9e+00,5e+00,Aaita Ej-Jabal,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
https://dbpedia.org/page/Akkar_Governorate,2e+00,3e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aaiyat,https://impact.cib.gov.lb/home#open_data_section,1e+01,Impact Open Data,2e+01,3e+01,5e+00,3e+01,3e+00,Aaiyat,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Keserwan_District,NaN,NaN,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aajaltoun,https://impact.cib.gov.lb/home#open_data_section,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,Aajaltoun,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
https://dbpedia.org/page/Akkar_Governorate,1e+01,5e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aakkar+El-Aatiqa,https://impact.cib.gov.lb/home#open_data_section,1.5e+01,Impact Open Data,2e+01,2e+01,1e+01,2e+01,5e+00,Aakkar El-Aatiqa,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Aley_District,1e+01,1e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aaley,https://impact.cib.gov.lb/home#open_data_section,2e+01,Impact Open Data,2e+01,2e+01,5e+00,2e+01,5e+00,Aaley,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Aley_District,0e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aaley+Bsatine,https://impact.cib.gov.lb/home#open_data_section,5.5e+01,Impact Open Data,1e+01,1e+01,1e+01,1e+01,5e+00,Aaley Bsatine,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/ZahlÃ©_District,5e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aali+En-Nahri,https://impact.cib.gov.lb/home#open_data_section,1.5e+01,Impact Open Data,3e+01,2.5e+01,1e+01,1e+01,5e+00,Aali En-Nahri,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Zgharta_District,1e+01,NaN,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aalma,https://impact.cib.gov.lb/home#open_data_section,9e+00,Impact Open Data,2e+01,3e+01,1e+01,2e+01,1e+00,Aalma,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Tyre_District,0e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aalma+Ech-Chaab,https://impact.cib.gov.lb/home#open_data_section,7e+01,Impact Open Data,1.4e+01,1e+00,1e+01,0e+00,5e+00,Aalma Ech-Chaab,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
http://dbpedia.org/resource/Marjeyoun_District,1e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aalman,https://impact.cib.gov.lb/home#open_data_section,1e+01,Impact Open Data,1.5e+01,5e+01,4e+00,2e+01,0e+00,Aalman,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
https://dbpedia.org/page/Mount_Lebanon_Governorate,5e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aalmane+Ech-Chouf,https://impact.cib.gov.lb/home#open_data_section,2.5e+01,Impact Open Data,1e+01,2e+01,1e+01,2e+01,1e+01,Aalmane Ech-Chouf,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
